      frame      dist    d_dist     
         0     2.231        NA
        20     2.612     0.381
        21     4.192     1.580
        22     4.773     0.581
        23     5.636     0.863
        26     6.525     0.889
        32     7.414     0.889
        36     8.345     0.931
        40     9.138     0.793
        45    10.059     0.921
        50    10.933     0.874
        52    11.743     0.810
        53    11.946     1.013;
        57    12.524     0.781
        59    13.038     1.092;
        60    13.578     1.054
        63    13.971     0.933;
        66    14.360     0.782
        72    15.171     0.811
        76    16.106     0.935
        78    16.956     0.850
        84    17.770     0.814
        89    18.621     0.851
        93    19.387     0.766
        96    20.374     0.987
       100    20.768     0.394
